YR,DONG_CD,STATS_VL
2008,1100000000,219.0
2008,1111000000,6.0
2008,1114000000,5.0
2008,1117000000,5.0
2008,1120000000,7.0
2008,1121500000,5.0
2008,1123000000,13.0
2008,1126000000,10.0
2008,1129000000,7.0
2008,1130500000,8.0
2008,1132000000,8.0
2008,1135000000,9.0
2008,1138000000,11.0
2008,1141000000,6.0
2008,1144000000,4.0
2008,1147000000,7.0
2008,1150000000,13.0
2008,1153000000,3.0
2008,1154500000,4.0
2008,1156000000,14.0
2008,1159000000,6.0
2008,1162000000,7.0
2008,1165000000,8.0
2008,1168000000,29.0
2008,1171000000,13.0
2008,1174000000,11.0
2008,2600000000,120.0
2008,2611000000,9.0
2008,2614000000,8.0
2008,2617000000,7.0
2008,2620000000,3.0
2008,2623000000,8.0
2008,2626000000,13.0
2008,2629000000,5.0
2008,2632000000,14.0
2008,2635000000,11.0
2008,2638000000,5.0
2008,2641000000,11.0
2008,2644000000,0.0
2008,2647000000,2.0
2008,2650000000,6.0
2008,2653000000,16.0
2008,2671000000,2.0
2008,2700000000,103.0
2008,2711000000,10.0
2008,2714000000,7.0
2008,2717000000,11.0
2008,2720000000,9.0
2008,2723000000,16.0
2008,2726000000,13.0
2008,2729000000,30.0
2008,2771000000,7.0
2008,2800000000,61.0
2008,2811000000,2.0
2008,2814000000,3.0
2008,2817000000,6.0
2008,2818500000,4.0
2008,2820000000,9.0
2008,2823700000,18.0
2008,2824500000,6.0
2008,2826000000,10.0
2008,2871000000,2.0
2008,2872000000,1.0
2008,2900000000,68.0
2008,2911000000,9.0
2008,2914000000,14.0
2008,2915500000,10.0
2008,2917000000,21.0
2008,2920000000,14.0
2008,3000000000,40.0
2008,3011000000,2.0
2008,3014000000,10.0
2008,3017000000,18.0
2008,3020000000,5.0
2008,3023000000,5.0
2008,3100000000,40.0
2008,3111000000,7.0
2008,3114000000,21.0
2008,3117000000,1.0
2008,3120000000,4.0
2008,3171000000,7.0
2008,3611000000,
2008,4100000000,281.0
2008,4111000000,24.0
2008,4113000000,17.0
2008,4115000000,15.0
2008,4117000000,12.0
2008,4119000000,28.0
2008,4121000000,3.0
2008,4122000000,16.0
2008,4125000000,3.0
2008,4127000000,22.0
2008,4128000000,26.0
2008,4129000000,0.0
2008,4131000000,8.0
2008,4136000000,10.0
2008,4137000000,3.0
2008,4139000000,9.0
2008,4141000000,4.0
2008,4143000000,3.0
2008,4145000000,4.0
2008,4146000000,18.0
2008,4148000000,9.0
2008,4150000000,6.0
2008,4155000000,5.0
2008,4157000000,10.0
2008,4159000000,4.0
2008,4161000000,2.0
2008,4163000000,4.0
2008,4165000000,5.0
2008,4173000000,4.0
2008,4180000000,1.0
2008,4182000000,4.0
2008,4183000000,2.0
2008,4200000000,52.0
2008,4211000000,11.0
2008,4213000000,11.0
2008,4215000000,7.0
2008,4217000000,4.0
2008,4219000000,1.0
2008,4221000000,3.0
2008,4223000000,2.0
2008,4272000000,2.0
2008,4273000000,1.0
2008,4275000000,1.0
2008,4276000000,0.0
2008,4277000000,4.0
2008,4278000000,1.0
2008,4279000000,0.0
2008,4280000000,3.0
2008,4281000000,1.0
2008,4282000000,0.0
2008,4283000000,0.0
2008,4300000000,46.0
2008,4311000000,17.0
2008,4313000000,5.0
2008,4315000000,3.0
2008,4371000000,4.0
2008,4372000000,2.0
2008,4373000000,1.0
2008,4374000000,1.0
2008,4374500000,2.0
2008,4375000000,1.0
2008,4376000000,2.0
2008,4377000000,7.0
2008,4380000000,1.0
2008,4400000000,54.0
2008,4413000000,13.0
2008,4415000000,3.0
2008,4418000000,4.0
2008,4420000000,6.0
2008,4421000000,2.0
2008,4423000000,2.0
2008,4425000000,1.0
2008,4471000000,2.0
2008,4473000000,1.0
2008,4476000000,4.0
2008,4477000000,4.0
2008,4479000000,1.0
2008,4480000000,3.0
2008,4481000000,2.0
2008,4482500000,1.0
2008,4483000000,5.0
2008,4500000000,71.0
2008,4511000000,30.0
2008,4513000000,5.0
2008,4514000000,10.0
2008,4518000000,6.0
2008,4519000000,5.0
2008,4521000000,4.0
2008,4571000000,4.0
2008,4572000000,1.0
2008,4573000000,0.0
2008,4574000000,0.0
2008,4575000000,1.0
2008,4577000000,0.0
2008,4579000000,2.0
2008,4580000000,3.0
2008,4600000000,93.0
2008,4611000000,20.0
2008,4613000000,8.0
2008,4615000000,11.0
2008,4617000000,7.0
2008,4623000000,3.0
2008,4671000000,5.0
2008,4672000000,1.0
2008,4673000000,1.0
2008,4677000000,4.0
2008,4678000000,2.0
2008,4679000000,5.0
2008,4680000000,2.0
2008,4681000000,2.0
2008,4682000000,5.0
2008,4683000000,1.0
2008,4684000000,2.0
2008,4686000000,2.0
2008,4687000000,3.0
2008,4688000000,4.0
2008,4689000000,1.0
2008,4690000000,2.0
2008,4691000000,2.0
2008,4700000000,89.0
2008,4711000000,19.0
2008,4713000000,11.0
2008,4715000000,5.0
2008,4717000000,7.0
2008,4719000000,5.0
2008,4721000000,4.0
2008,4723000000,5.0
2008,4725000000,2.0
2008,4728000000,3.0
2008,4729000000,5.0
2008,4772000000,1.0
2008,4773000000,5.0
2008,4775000000,1.0
2008,4776000000,1.0
2008,4777000000,3.0
2008,4782000000,2.0
2008,4783000000,1.0
2008,4784000000,1.0
2008,4785000000,4.0
2008,4790000000,1.0
2008,4792000000,1.0
2008,4793000000,2.0
2008,4794000000,0.0
2008,4800000000,157.0
2008,4812000000,52.0
2008,4817000000,17.0
2008,4822000000,6.0
2008,4824000000,7.0
2008,4825000000,24.0
2008,4827000000,7.0
2008,4831000000,8.0
2008,4833000000,14.0
2008,4872000000,3.0
2008,4873000000,3.0
2008,4874000000,4.0
2008,4882000000,3.0
2008,4884000000,1.0
2008,4885000000,2.0
2008,4886000000,0.0
2008,4887000000,1.0
2008,4888000000,3.0
2008,4889000000,2.0
2008,5000000000,11.0
2008,5011000000,9.0
2008,5013000000,2.0
